champs_lexical,mots
Les types de textes et de discours,Apophtegme
Les types de textes et de discours,Déprécation
Les types de textes et de discours,Diatribe
Les types de textes et de discours,Dithyrambe
Les types de textes et de discours,Épigramme
Les types de textes et de discours,Harangue
Les types de textes et de discours,Homélie
Les types de textes et de discours,Invective
Les types de textes et de discours,Jérémiade
Les types de textes et de discours,Maxime
Les types de textes et de discours,Mercuriale
Les types de textes et de discours,Oraison
Les types de textes et de discours,Palinodie
Les types de textes et de discours,Pamphlet
Les types de textes et de discours,Panégyrique
Les types de textes et de discours,"Persifler, persiflage"
Les types de textes et de discours,Philippique
Les types de textes et de discours,Soliloque
